,gene,num_sig_phases,max_diff
580,LAbrini_02025,2,0.105535147
2772,LAbrini_19400,2,0.10545722199999999
1442,LAbrini_17855,2,0.10528510200000002
3586,LAbrini_00645,2,0.10525691150000005
276,LAbrini_13805,2,0.10500840150000001
3160,LAbrini_06470,2,0.1047426775
2328,LAbrini_00260,2,0.10472916249999997
1863,LAbrini_16575,2,0.1046182075
1298,LAbrini_17570,2,0.10450469299999998
1866,LAbrini_01205,2,0.10444499449999994
592,LAbrini_05885,2,0.10436756299999997
618,LAbrini_04740,2,0.10435916299999998
1777,LAbrini_17375,2,0.10434266600000003
968,LAbrini_00500,2,0.10427205599999997
2384,ERCC-00009,2,0.10419693249999995
2553,LAbrini_01170,2,0.10416481349999998
242,LAbrini_09970,2,0.10414554199999992
944,LAbrini_06465,2,0.10401373900000005
2876,LAbrini_03740,2,0.10378046949999997
